Machine,fault_name_clean,fault_name_original,id_failure,system,mode_fault,match,,,,
2,MLB 501234.  AIR BLEED VALVE,MLB 501234. FAULT  AIR BLEED VALVE,1,PRESSURE,AIR BLEED,49,,,,
3,AUH2320WE1954  - BEACK HOT,AUH2320we1954 Defect - BEACK HOT,2,BREAK,PEDAL BREAK,32,,,,
2,    BREAKS,DUE PERFORM MAINTENANCE FAULT BREAKS,3,BREAK,BREAKES,71,,,,
2,501021-A-003 BRAKECHANGE,501021-A-003 DURING BRAKECHANGE,4,BREAK,PEDAL BREAK,34,,,,
3,501234.   AIR CABIN, 501234. FAULT DISPLAYED Air CABIN,5,AIR,CABIN AIR,36,,,,
3,    PEDAL BREAK ,DURING DAILY CHECK WAS FOUND PEDAL BREAK PROBLEM,6,BREAK,PEDAL BREAK,81,,,,
3,AUH2320WE1954  -VENT SKIN AIR,AUH2320we1954 Defect -VENT SKIN AIR,7,AIR,VENT SKIN,47,,,,
1,G/I # 6 TIRE PRESS,G/I # 6 TIRE WITH PRESS,8,BREAK,TIRE PRESS,71,,,,
2,    BREAKS,DUE PERFORM MAINTENANCE FAULT BREAKS,9,BREAK,BREAKES,71,,,,
3,FRENO N2 DESGASTE TOLERANCIA,freno n2 con desgaste fuera de tolerancia,10,BREAK,TIRE PRESS,32,,,,
2, VREAK,problem vreak,11,BREAK,BREAKES,62,,,,
1,   VENT BLOWER,DUE PERFORM MAINTENANCE VENT BLOWER,12,AIR,VENT BLOWER,88,,,,
3,: EYE BROWN VENTILATION SELECTOR CAPT SID LEFT SIDE BROKEN.,: EYE BROWN VENTILATION SELECTOR CAPT SID LEFT SIDE BROKEN.,13,AIR,VENT BLOWER,26,,,,
1,FOUN  BREAK TEMPERATURE,foun problem  break temperature,14,BREAK,BREAKES,40,,,,
1,MLG WHEEL #1 NORMAL WEAR,MLG WHEEL #1 WITH NORMAL WEAR,15,BREAK,PEDAL BREAK,34,,,,
2,HP VALVE CLOSED   AIR,HP VALVE NOT CLOSED POSITION PROBLEM FOR AIR,16,PRESSURE,VALVE NOT CLSD,57,,,,
1,  BRAKE (OUT LIMIT),DURING DAILY CHECK BRAKE  (OUT OF LIMIT),17,BREAK,BREAKES,38,,,,
3,SHOW  BRAKES TEMPERATURE SHOW DIFFERENCE 400 DEGREES 1 4,SHOW DURING FAULT BRAKES TEMPERATURE SHOW A DIFFERENCE OF 400 DEGREES BETWEEN  1 AND 4,18,BREAK,TIRE PRESS,24,,,,
3,FOUN  BREAK TEMPERATURE,foun problem  break temperature,19,BREAK,BREAKES,40,,,,
2,G/I # 6 TIRE PRESS,G/I # 6 TIRE WITH PRESS,20,BREAK,TIRE PRESS,71,,,,
1, PROCESS   PERFORMED BEAKS,DURING INSPECTION PROCESS WAS FOUND THE PERFORMED BEAKS,21,BREAK,PEDAL BREAK,43,,,,
3,501643-A-032 -  CONTORL WORK,501643-A-032 - TEMPERATURA CONTORL DOES NOT WORK,22,AIR,VENT BLOWER,26,,,,
2,AUH2320WE1954  - BEACK HOT,AUH2320we1954 Defect - BEACK HOT,23,BREAK,PEDAL BREAK,32,,,,
